Intensity_db,DB dIM,dRetention
2023940,-0.0103,0.5491
1970457.1,-0.0071,-0.0462
1935974.9,-0.0506,-0.6184
1845972.9,-0.0731,-4.427
1801622,-0.0099,-2.9507
1801036.4,-0.0498,1.1195
1778965.4,-0.0342,26.7762
1753256.6,-0.0108,-4.1159
1665309.4,-0.0756,-3.2615
1639722.4,-0.0384,28.5382
1582072,-0.008,29.1081
1511301.9,-0.0336,29.7043
1458701,-0.0563,-0.0462
1424893.9,-0.0569,9.2828
1347463.5,-0.0737,-0.0972
1342967.2,-0.0078,-3.5453
1255447,-0.013,32.0369
1025434.7,-0.0801,5.7338
938946.25,-0.0813,0.6395
919099.7,-0.0858,14.8389
705598.8,-0.0911,2.0089
685903.25,-0.0423,5.5472
685510.9,-0.0136,4.3808
667931.7,-0.013,8.2723
651108.1,-0.0408,4.7734
641936.9,-0.075,4.0474
610384,-0.0573,5.5472
606853.4,-0.0746,0.5491
593160.94,-0.0578,7.1059
571904.56,-0.0343,0.8822
557149.25,-0.0584,23.4332
540137.6,-0.0612,6.7138
531216.1,-0.0117,1.2751
525605.4,-0.0118,2.4415
500765.6,-0.0773,16.2795
480978.16,-0.0157,28.7913
451931.6,-0.0615,4.7734
425883.97,-0.013,-0.2831
304194.7,-0.0134,32.7627
285909.06,-0.0476,13.4643
271144.72,-0.0463,8.7985
268183.1,-0.0509,13.7011
260422.23,-0.0148,6.7825
259351.92,-0.0185,13.7011
257825.08,-0.0495,8.5055
228446.62,-0.0339,6.1744
219774.62,-0.066,14.8666
205714.61,-0.0193,5.0071
202904.95,-0.0637,12.2979
200232.33,-0.0182,3.8409
198316.95,-0.0185,27.0868
180650.08,-0.0142,2.6157
171895.66,-0.0831,11.3785
151515.97,-0.086,13.7108
119184.75,-0.014,31.0632
101404.91,-0.0387,17.718
96179.21,-0.0582,29.1081
92466.68,-0.0435,22.3829
88671.875,-0.3382,0.2376
88095.336,-0.0374,14.4315
82886.97,-0.3089,2.5704
82514.53,-0.3545,8.1645
70741.26,-0.0104,9.7674
69098.64,-0.0138,10.9337
68681.734,-0.3383,5.8329
64019.387,-0.3367,2.3335
62694.582,-0.0302,13.6327
60108.582,-0.0119,24.4966
59059.113,-0.3149,3.4994
53530.89,-0.3389,5.5076
52633.957,-0.0136,10.4519
51708.293,-0.322,6.6749
50437.332,-0.0174,37.7951
49012.863,-0.0127,72.2125
43134.574,-0.0371,-100.0586
42644.234,-0.3485,8.067
41251.117,-0.0098,87.3816
40468.586,-0.0102,71.0468
37713.63,-0.0234,78.0531
33922.086,-0.0076,78.0531
33124.36,-0.0384,-95.3949
32617.885,-0.3459,2.9718
31118.15,-0.0457,-94.4737
30805.709,-0.014,81.5511
30057.596,-0.0151,86.9413
29813.225,-0.0373,-90.975
29754.867,-0.0332,-89.8084
26602.38,-0.013,57.6948
25736.477,-0.011,81.1107
19809.184,-0.0309,55.9809
19412.758,-0.0114,123.2982
15878.703,-0.0176,57.9463
15729.323,-0.0151,35.0032
14454.844,-0.0167,36.254
3886147.8,0.1119,-85.1894
3361929,0.0361,-75.6311
3334405.8,0.0345,-80.297
2700875.5,0.0337,-72.3196
2651332,0.0339,-67.4806
2359732.5,0.0322,-74.8295
2348663,0.0328,-81.6555
2098072.2,0.1097,-78.0973
2006484,0.1117,-48.065
1866847.6,0.0257,-70.2242
1772459.6,0.0153,-60.2159
1717720.6,0.0183,-74.2106
1298172,0.0173,-78.561
1073318.8,0.0132,-60.2282
1066633.9,0.0166,-60.2282
1033319.8,0.0097,-64.8491
1027583.7,0.0161,-70.7229
1019699.75,0.0131,-60.1804
686391.6,0.1038,-77.7093
593586.6,0.0157,-58.7174
449384.28,0.0148,-72.6307
421434.12,0.0089,-73.8781
403368.12,0.1038,-73.0566
216620.92,-0.0085,-68.6328
175594.25,-0.1272,-78.1911
165055.06,0.103,-69.2134
129621.29,0.0138,-67.9585
125000.625,-0.1275,-62.0602
107199.97,-0.0896,-66.3007
85322.88,0.0136,-70.2912
72669.195,0.0377,-34.8249
68430.945,0.0302,-30.1467
65971.29,0.0224,-61.8808
58083.61,0.0083,-65.3797
50765.863,0.0116,-66.5465
47550.965,0.0421,-602.94
40174.125,-0.1364,-64.8491
39575.242,-0.1371,-66.0157
36794.062,-0.1386,-67.1821
36381.793,0.0287,-21.9954
29903.568,0.1048,-65.625
27810.338,0.0032,-63.4861
25572.385,0.0038,-64.6523
16587.928,0.0005,-62.2607
13722.206,0.0034,-61.046
10153.471,0.0981,-61.8808
8194936.5,0.0592,148.9941
7665553.5,0.0588,142.0079
7349190.5,0.0577,144.156
7045997.5,0.0172,153.4857
7021813.5,0.0583,145.2897
6646449.5,0.0576,145.142
6030264.5,0.015,146.3075
5818629,0.0552,144.3286
5705623.5,0.0562,169.7802
5543948.5,0.0491,173.1318
5451809.5,0.0568,141.7926
5442639,0.0577,138.5097
5383548,0.056,167.6688
5141227,0.0545,141.6424
5075464,0.0561,140.6571
4423144,0.0538,136.1772
4343106.5,0.0526,154.4147
4087156,0.0522,153.5495
4021832.8,0.0526,149.7494
3635675.8,0.0497,150.0493
3611533,0.0435,182.7047
3013896.2,0.0512,146.251
2988114.8,0.3572,143.1741
2768777.2,0.345,146.6616
2609001.5,0.3413,145.3217
2575685,0.3408,144.156
2486326,0.336,145.5055
2109431.2,0.3324,142.0079
1999743,0.3483,146.3075
1954630.5,0.3434,143.975
1892277.5,0.3358,145.2897
1879617.4,0.046,161.4922
1830938.5,0.0479,155.6601
1817210.1,0.044,159.7543
1783842.6,0.0454,153.9233
1674941.5,0.3316,157.9697
1671817.4,0.0467,150.4239
1028304.25,0.3733,171.9649
998642.2,0.0476,184.2442
920281.06,0.3173,156.0016
813753,0.0459,158.1629
808893.7,0.3374,159.3792
806256.44,0.0394,162.2706
789838.75,0.0425,156.2982
754027.3,0.3344,160.2466
750427.5,0.3744,172.1139
742951.8,0.3731,153.5495
734043.3,0.0475,153.4978
701494.8,0.3153,146.4563
686379.44,0.3315,167.2509
677639.4,0.3719,173.2794
566039.75,0.3109,149.9554
492402.16,0.3759,147.418
489791.34,0.0463,182.6528
445328.34,0.0423,183.2682
395082.6,0.3022,144.3398
387532.5,0.042,161.7108
383813.78,0.0431,160.5444
383622.62,0.0434,157.0457
345686.7,0.3127,157.9139
329494.22,0.0417,166.0582
326567.47,0.3125,162.8799
305889.8,-0.0105,146.4885
272338.2,0.3501,158.5872
266287.28,0.3271,158.5872
256003.39,0.3428,167.3234
255445.81,0.3655,157.4211
249488.67,-0.0107,144.3398
245106.64,0.3518,156.8269
230519.2,0.3475,155.0892
214922.25,-0.0121,159.3792
184655.45,-0.0112,147.8275
183545.17,0.0405,162.7836
168922.84,0.2901,147.8275
163201.05,0.3165,160.3256
151217.02,0.0439,159.2851
140765.55,0.0425,158.1189
136422.69,0.3101,159.7543
114911.31,0.2857,148.6403
101807.94,0.2861,147.6224
99688.48,0.3299,164.6045
91918.62,0.3656,161.6607
83573.88,0.3619,158.7724
74922.86,0.2828,158.2132
72259.164,0.278,157.9139
59925.02,0.2901,146.4885
56494.23,0.0478,158.8072
53986.586,0.2876,147.473
45446.086,0.2862,146.3075
40438.04,0.2853,162.0866
