Library Decoy Hyperscore,One genome Decoy
11.386,17.393
9.103,17.159
10.649,14.402
9.083,17.636
9.868,16.324
10.3,14.78
9.394,12.695
8.698,20.479
9.864,17.287
11.055,14.879
8.88,13.69
10.817,16.648
10.263,13.546
9.907,15.123
11.281,15.684
9.057,15.983
11.003,16.977
10.016,16.922
9.273,11.625
12.537,16.557
11.185,10.705
10.382,14.039
10.096,17.498
10.601,20.568
10.535,13.189
10.756,18.026
12.158,13.376
9.077,17.361
10.111,14.833
9.258,14.782
9.244,14.053
9.931,21.11
11.053,17.973
9.65,12.573
10.478,15.327
10.974,14.495
10.702,13.841
8.719,13.061
14.084,14.78
10.883,12.843
10.85,16.885
6.903,12.458
8.783,13.949
11.182,15.358
9.631,14.248
10.817,18.373
10.541,14.798
11.707,15.708
6.585,15.519
8.075,16.065
8.495,15.472
14.848,13.51
7.689,13.99
7.222,17.357
9.629,15.841
9.26,17.314
9.061,13.077
12.093,14.702
11.373,16.595
11.025,11.278
7.83,19.203
10.049,18.023
6.892,15.776
9.716,15.79
10.109,14.755
9.056,13.122
11.286,13.631
9.329,14.002
9.756,17.592
10.374,15.451
10.746,14.114
11.062,16.77
9.133,18.048
10.192,18.91
7.99,16.01
13.378,13.336
9.19,16.95
10.508,15.274
11.342,17.639
9.706,14.756
10.663,17.205
6.986,15.521
6.196,14.815
9.068,16.179
8.013,14.647
9.089,18.923
8.222,13.563
11.217,15.634
9.491,17.929
9.307,10.779
9.869,13.251
9.184,13.909
9.583,15.611
8.844,13.684
10.047,22.145
6.619,15.005
8.605,14.621
13.598,14.055
6.981,16.061
9.031,15.427
9.416,15.577
7.656,16.706
7.898,15.673
10.646,15.049
9.697,16.061
9.799,17.348
9.569,11.413
9.734,14.101
9.871,12.119
12.926,16.705
10.72,13.143
8.027,14.526
8.714,16.859
8.643,16.759
10.189,15.225
8.158,11.213
9.819,17.379
8.898,16.532
9.902,16.737
10.999,13.735
13.53,12.012
10.084,17.72
10.424,15.499
11.482,16.656
10.25,18.265
11.13,16.361
10.784,18.316
8.194,14.721
8.243,14.784
9.825,16.649
9.28,16.391
8.985,13.415
8.651,14.403
10.785,13.595
10.735,12.977
10.772,15.132
9.888,13.385
10.639,16.706
7.176,13.385
8.454,13.675
10.718,15.424
8.268,20.751
9.36,16.618
9.795,18.916
10.032,14.877
11.099,14.491
10.276,15.054
8.936,13.779
11.125,11.886
11.115,17.085
10.824,15.394
8.734,15.815
11.77,14.101
9.654,11.84
9.301,17.292
8.023,19.789
11.87,15.628
10.997,20.905
10.539,14.748
10.526,14.239
10.652,13.101
7.407,13.536
8.265,15.13
11.735,15.643
9.176,16.769
8.208,15.907
7.535,13.675
10.117,16.432
8.181,15.557
9.01,18.236
9.002,15.5
10.151,15.518
10.594,16.611
9.241,13.546
10.332,16.242
9.492,22.447
9.179,17.168
12.963,15.495
10.784,13.674
11.732,14.605
9.094,14.985
8.486,17.374
9.294,19.122
8.005,14.943
9.033,14.99
11.175,15.793
9.397,15.965
9.885,16.897
7.095,14.823
9.886,16.556
5.724,18.787
9.011,15.541
7.276,13.706
10.529,15.053
9.211,11.788
8.513,11.637
8.586,14.588
8.555,17.799
9.933,15.735
8.888,14.389
10.339,17.789
11.343,18.428
9.282,14.848
12.52,14.29
8.253,12.104
9.864,18.545
10,14.9
8.283,16.946
11.066,17.59
9.686,14.845
7.659,13.022
10.896,17.124
10.358,16.114
10.713,15.81
9.384,16.951
10.712,14.939
12.661,16.538
10.623,15.373
10.376,14.259
9.658,19.147
8.076,13.41
10.615,14.976
11.064,18.199
10.827,15.387
10.491,15.322
11.067,13.589
10.097,19.384
9.98,16.145
9.839,11.772
7.114,15.09
7.332,17.505
10.796,22.264
9.64,18.863
8.412,16.544
9.18,16.133
10.568,19.079
10.846,14.671
9.557,11.696
9.331,16.171
9.646,13.309
9.625,17.428
8.19,16.286
8.661,15.588
11.228,20.84
10.056,15.437
11.044,15.699
8.471,14.222
8.425,18.539
7.977,14.842
10.612,18.486
11.411,11.834
11.581,14.912
9.038,16.839
9.419,14.483
9.369,13.437
12.521,15.955
9.642,13.097
9.41,11.668
11.602,15.959
11.727,18.171
10.438,14.003
7.844,15.236
11.599,14.904
10.51,13.459
12.106,16.363
12.099,15.905
10.341,10.416
8.771,13.497
7.789,13.018
9.827,16.305
10.069,13.89
9.42,18.291
7.088,15.541
10.361,14.5
11.109,15.128
10.823,17.962
10.694,12.994
11.074,15.794
10.664,15.44
9.466,14.509
6.462,16.67
9.294,18.308
8.837,16.788
9.355,17.581
8.662,13.229
9.152,16.898
6.785,14.975
9.27,16.515
10.704,13.702
8.366,18.689
8.377,19.029
5.918,14.925
8.443,12.357
12.281,15.341
6.355,15.813
11.74,14.029
10.216,14.514
10.347,12.86
8.292,13.74
8.614,15.611
10.294,15.827
9.093,15.982
8.223,12.833
9.179,16.263
9.324,15.711
9.717,16.882
9.749,16.479
10.612,15.996
8.134,18.469
10.469,19.274
