Ecoli time (s),Ecoli Intensity,S. typhimurium time (s),S. typhimurium Intensity
155.783,175,213.986,122
155.912,0,214.94,94
156.04,0,215.682,117
156.168,0,216.848,65
156.727,107,218.015,0
157.257,189,219.181,149
157.382,113,220.347,0
157.512,122,221.513,0
157.639,138,222.68,0
157.765,126,223.845,0
157.889,260,225.012,44
158.019,0,226.178,0
158.147,0,227.345,204
158.268,0,228.51,0
158.399,254,229.57,0
158.526,123,230.737,322
158.647,104,231.904,0
158.778,28,232.857,0
158.904,0,234.024,0
159.03,0,235.189,0
159.159,78,236.357,0
159.287,0,237.522,0
159.412,0,238.689,182
159.542,0,239.536,166
159.671,103,240.703,133
159.795,0,241.868,93
159.923,223,243.035,74
160.053,64,244.202,0
160.182,74,245.368,1523
160.313,0,246.534,183
160.439,30,247.7,0
160.567,78,248.866,0
160.696,74,250.032,120
160.821,0,251.199,128
160.948,0,252.365,57
161.071,366,253.532,0
161.522,0,254.697,0
162.051,0,255.863,0
162.178,0,257.03,48
162.308,76,258.197,0
162.435,0,259.362,83
162.677,0,260.53,189
163.206,0,261.697,57
163.448,23,262.544,192
163.575,0,263.712,0
163.704,0,264.559,46
163.83,0,265.301,0
164.282,48,266.15,136
165.13,0,267.316,416
165.66,75,268.482,93
165.791,137,269.648,92
165.918,53,270.816,217
166.047,0,271.982,0
166.175,0,273.149,52
166.308,36,273.998,0
166.438,0,275.163,0
166.995,0,276.329,133
167.844,0,277.496,118
168.373,26,278.662,176
168.5,51,279.404,0
168.626,154,279.934,148
168.755,0,280.493,0
168.886,50,281.661,78
169.009,0,282.827,93
169.14,176,283.675,0
169.267,68,284.841,0
169.399,0,286.008,304
169.53,0,287.174,52
169.66,0,288.341,0
169.784,354,289.507,0
169.914,84,290.673,70
170.04,100,291.84,0
170.169,35,293.006,0
170.295,0,294.171,0
170.425,202,295.337,196
170.552,192,296.505,201
170.68,61,297.671,73
170.807,84,298.836,120
170.935,29,300.004,0
171.065,247,301.17,79
171.192,0,302.336,0
171.322,0,303.502,0
171.45,0,304.668,55
171.581,0,305.835,0
171.711,0,307.001,194
171.834,162,308.167,143
171.963,0,309.333,283
172.094,0,310.499,100
172.223,60,311.665,0
172.355,219,312.832,163
172.481,0,313.468,0
172.611,0,314.635,0
172.74,0,315.8,69
172.869,233,316.967,0
173.428,52,318.132,131
173.956,132,319.299,79
174.083,97,320.465,0
174.214,0,321.631,0
174.341,0,322.798,0
174.473,39,323.964,492
174.599,0,325.13,131
174.725,0,326.296,172
174.85,163,327.462,0
